https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume BTC
1651032000000,2022-04-27 04:00:00,DOGE/BTC,3.65e-06,3.65e-06,3.52e-06,3.6e-06,377705.71533042,1.359740575189512
1650945600000,2022-04-26 04:00:00,DOGE/BTC,3.79e-06,4.09e-06,3.57e-06,3.65e-06,586297.72617597,2.139986700542291
1650859200000,2022-04-25 04:00:00,DOGE/BTC,3.27e-06,4.27e-06,3.21e-06,3.79e-06,1416362.36987441,5.3680133818240146
1650772800000,2022-04-24 04:00:00,DOGE/BTC,3.39e-06,3.39e-06,3.22e-06,3.27e-06,60118.91504713,0.1965888522041151
1650686400000,2022-04-23 04:00:00,DOGE/BTC,3.42e-06,3.43e-06,3.37e-06,3.39e-06,147808.36490377,0.5010703570237803
1650600000000,2022-04-22 04:00:00,DOGE/BTC,3.38e-06,3.45e-06,3.36e-06,3.42e-06,80885.13617492,0.2766271657182264
1650513600000,2022-04-21 04:00:00,DOGE/BTC,3.39e-06,3.39e-06,3.31e-06,3.38e-06,94178.56048139,0.31832353442709815
1650427200000,2022-04-20 04:00:00,DOGE/BTC,3.46e-06,3.46e-06,3.37e-06,3.39e-06,37675.67701361,0.12772054507613792
1650340800000,2022-04-19 04:00:00,DOGE/BTC,3.43e-06,3.48e-06,3.41e-06,3.46e-06,65329.88852887,0.2260414143098902
1650254400000,2022-04-18 04:00:00,DOGE/BTC,3.52e-06,3.52e-06,3.4e-06,3.43e-06,100768.3445726,0.345635421884018
1650168000000,2022-04-17 04:00:00,DOGE/BTC,3.54e-06,3.6e-06,3.5e-06,3.52e-06,273532.10023506,0.9628329928274112
1650081600000,2022-04-16 04:00:00,DOGE/BTC,3.64e-06,3.64e-06,3.53e-06,3.54e-06,111895.58028785,0.396110354218989
1649995200000,2022-04-15 04:00:00,DOGE/BTC,3.58e-06,3.72e-06,3.57e-06,3.64e-06,498841.67077584,1.8157836816240576
1649908800000,2022-04-14 04:00:00,DOGE/BTC,3.42e-06,3.64e-06,3.34e-06,3.58e-06,641541.56375145,2.296718798230191
1649822400000,2022-04-13 04:00:00,DOGE/BTC,3.5e-06,3.5e-06,3.38e-06,3.42e-06,49546.02689617,0.16944741198490137
1649736000000,2022-04-12 04:00:00,DOGE/BTC,3.42e-06,3.59e-06,3.41e-06,3.5e-06,472623.83876931,1.6541834356925849
1649649600000,2022-04-11 04:00:00,DOGE/BTC,3.48e-06,3.5e-06,3.38e-06,3.42e-06,133508.96980959,0.4566006767487978
1649563200000,2022-04-10 04:00:00,DOGE/BTC,3.51e-06,3.68e-06,3.45e-06,3.48e-06,712582.53139073,2.47978720923974
1649476800000,2022-04-09 04:00:00,DOGE/BTC,3.34e-06,3.54e-06,3.34e-06,3.51e-06,633281.39921721,2.2228177112524072
