https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1651032000000,2022-04-27 04:00:00,DOGE/USD,0.13984,0.14341,0.13774,0.14103,8714128.464112,1228953.5372937154
1650945600000,2022-04-26 04:00:00,DOGE/USD,0.1535,0.16652,0.13516,0.13984,42790844.392318,5983871.679821749
1650859200000,2022-04-25 04:00:00,DOGE/USD,0.12864,0.17076,0.12251,0.1535,73347967.647296,11258913.033859935
1650772800000,2022-04-24 04:00:00,DOGE/USD,0.13434,0.13475,0.12483,0.12864,5346549.646468,687780.1465216435
1650686400000,2022-04-23 04:00:00,DOGE/USD,0.13488,0.1359,0.13329,0.13434,3265606.944363,438701.63690572535
1650600000000,2022-04-22 04:00:00,DOGE/USD,0.13664,0.13811,0.13468,0.13488,4252106.226053,573524.0877700287
1650513600000,2022-04-21 04:00:00,DOGE/USD,0.14092,0.14298,0.1342,0.13664,8027082.276854,1096820.5223093308
1650427200000,2022-04-20 04:00:00,DOGE/USD,0.143,0.143,0.14057,0.14092,1014109.578747,142908.32183702724
1650340800000,2022-04-19 04:00:00,DOGE/USD,0.13962,0.14446,0.13927,0.143,7358911.302339,1052324.3162344769
1650254400000,2022-04-18 04:00:00,DOGE/USD,0.14003,0.14144,0.13313,0.13962,10386410.221983,1450150.5951932664
1650168000000,2022-04-17 04:00:00,DOGE/USD,0.14294,0.14489,0.13844,0.14003,5783965.240027,809928.6525609808
1650081600000,2022-04-16 04:00:00,DOGE/USD,0.1468,0.14704,0.14145,0.14294,3216602.215837,459781.1207317408
1649995200000,2022-04-15 04:00:00,DOGE/USD,0.14383,0.14979,0.14316,0.1468,11166806.308046,1639287.1660211529
1649908800000,2022-04-14 04:00:00,DOGE/USD,0.14105,0.14754,0.137,0.14383,18257447.813471,2625968.7190115345
1649822400000,2022-04-13 04:00:00,DOGE/USD,0.14055,0.14228,0.13905,0.14105,2422621.397273,341710.74808535667
1649736000000,2022-04-12 04:00:00,DOGE/USD,0.13595,0.14458,0.13455,0.14055,12445195.690487,1749172.2542979477
1649649600000,2022-04-11 04:00:00,DOGE/USD,0.14624,0.14761,0.13305,0.13595,19902662.146934,2705766.918875677
1649563200000,2022-04-10 04:00:00,DOGE/USD,0.14987,0.15816,0.14495,0.14624,22253273.113555,3254318.6601262833
1649476800000,2022-04-09 04:00:00,DOGE/USD,0.1423,0.15187,0.14169,0.14987,8054372.268559,1207108.7718889373
1649390400000,2022-04-08 04:00:00,DOGE/USD,0.15038,0.15343,0.14062,0.1423,10362027.326124,1474516.4885074452
1649304000000,2022-04-07 04:00:00,DOGE/USD,0.14276,0.15145,0.14085,0.15038,10404152.140085,1564576.3988259826
1649217600000,2022-04-06 04:00:00,DOGE/USD,0.1598,0.1598,0.13987,0.14276,15023373.610964,2144736.816701221
1649131200000,2022-04-05 04:00:00,DOGE/USD,0.15044,0.18,0.14949,0.1598,45187784.933637,7221008.032395192
1649044800000,2022-04-04 04:00:00,DOGE/USD,0.14466,0.15657,0.14141,0.15044,53098328.050159,7988112.471865919
1648958400000,2022-04-03 04:00:00,DOGE/USD,0.13919,0.14956,0.13916,0.14466,15428500.754911,2231886.9192054253
1648872000000,2022-04-02 04:00:00,DOGE/USD,0.14287,0.14439,0.1363,0.13919,25871631.027705,3601072.322746259
1648785600000,2022-04-01 04:00:00,DOGE/USD,0.13494,0.14426,0.13436,0.14287,14394141.679151,2056491.0217003033
1648699200000,2022-03-31 04:00:00,DOGE/USD,0.1447,0.14794,0.13226,0.13494,15654134.585798,2112368.9210075825
1648612800000,2022-03-30 04:00:00,DOGE/USD,0.14249,0.14598,0.14162,0.1447,4185886.883822,605697.8320890435
1648526400000,2022-03-29 04:00:00,DOGE/USD,0.14456,0.14889,0.13817,0.14249,12189632.704505,1736900.7640649176
1648440000000,2022-03-28 04:00:00,DOGE/USD,0.14894,0.15389,0.14073,0.14456,19464988.011359,2813858.6669220566
