https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1651032000000,2022-04-27 04:00:00,LTC/USD,99.45,101.22,99.37,100.34,1735.68747,174158.88073980002
1650945600000,2022-04-26 04:00:00,LTC/USD,104.48,104.95,96.41,99.45,12421.24144,1235292.461208
1650859200000,2022-04-25 04:00:00,LTC/USD,101.9,105.35,98.44,104.48,9862.21083,1030403.7875184
1650772800000,2022-04-24 04:00:00,LTC/USD,105.23,105.61,100.9,101.9,5217.48287,531661.504453
1650686400000,2022-04-23 04:00:00,LTC/USD,105.51,107.18,104.45,105.23,3841.34319,404224.54388370004
1650600000000,2022-04-22 04:00:00,LTC/USD,107.04,108.64,104.88,105.51,8325.71212,878445.8857812
1650513600000,2022-04-21 04:00:00,LTC/USD,112.25,114.45,105.47,107.04,10393.60159,1112531.1141936001
1650427200000,2022-04-20 04:00:00,LTC/USD,112.68,112.68,111.79,112.25,300.36473,33715.9409425
1650340800000,2022-04-19 04:00:00,LTC/USD,111.98,114.13,110.6,112.68,8396.61283,946130.3336844001
1650254400000,2022-04-18 04:00:00,LTC/USD,109.63,112.31,105.33,111.98,14696.36855,1645699.350229
1650168000000,2022-04-17 04:00:00,LTC/USD,113.7,114.35,108.3,109.63,7208.19615,790234.5439244999
1650081600000,2022-04-16 04:00:00,LTC/USD,111.96,115.06,110.23,113.7,8545.31283,971602.0687710001
1649995200000,2022-04-15 04:00:00,LTC/USD,110.33,112.83,109.17,111.96,8478.30665,949231.212534
1649908800000,2022-04-14 04:00:00,LTC/USD,111.88,112.27,106.04,110.33,15439.39032,1703427.9340056
1649822400000,2022-04-13 04:00:00,LTC/USD,105.02,112.0,105.02,111.88,4374.81174,489453.9374712
1649736000000,2022-04-12 04:00:00,LTC/USD,102.4,105.77,102.37,105.02,7637.63245,802104.159899
1649649600000,2022-04-11 04:00:00,LTC/USD,108.21,109.7,101.75,102.4,10856.09092,1111663.7102080001
1649563200000,2022-04-10 04:00:00,LTC/USD,112.67,114.5,107.31,108.21,6559.93684,709850.7654564
1649476800000,2022-04-09 04:00:00,LTC/USD,111.01,112.98,110.53,112.67,3348.60984,377287.8706728
1649390400000,2022-04-08 04:00:00,LTC/USD,114.55,115.36,109.67,111.01,10707.91027,1188685.1190727002
1649304000000,2022-04-07 04:00:00,LTC/USD,112.07,114.98,111.76,114.55,7054.1036,808047.56738
1649217600000,2022-04-06 04:00:00,LTC/USD,120.02,120.02,110.19,112.07,6969.50193,781072.0812951
1649131200000,2022-04-05 04:00:00,LTC/USD,125.02,127.31,117.3,120.02,11559.81301,1387408.7574602
1649044800000,2022-04-04 04:00:00,LTC/USD,125.89,126.67,121.31,125.02,19688.78407,2461491.7844314002
1648958400000,2022-04-03 04:00:00,LTC/USD,124.85,129.51,124.85,125.89,26939.50337,3391414.0792493
1648872000000,2022-04-02 04:00:00,LTC/USD,126.38,128.28,123.76,124.85,11202.53985,1398637.1002724997
1648785600000,2022-04-01 04:00:00,LTC/USD,120.95,127.17,120.85,126.38,8898.35655,1124574.300789
1648699200000,2022-03-31 04:00:00,LTC/USD,131.48,131.95,119.19,120.95,29358.489,3550909.2445500004
1648612800000,2022-03-30 04:00:00,LTC/USD,128.18,134.07,128.18,131.48,5508.97714,724320.3143671999
1648526400000,2022-03-29 04:00:00,LTC/USD,129.08,132.02,125.96,128.18,11914.03913,1527141.5356834
1648440000000,2022-03-28 04:00:00,LTC/USD,130.34,132.62,126.84,129.08,16299.86055,2103985.9997940003
1648353600000,2022-03-27 04:00:00,LTC/USD,126.52,130.76,123.38,130.34,11932.61322,1555296.8070948
1648267200000,2022-03-26 04:00:00,LTC/USD,124.3,126.53,122.07,126.52,5948.76746,752638.0590392
1648180800000,2022-03-25 04:00:00,LTC/USD,126.32,127.31,121.6,124.3,14543.48958,1807755.754794
1648094400000,2022-03-24 04:00:00,LTC/USD,120.62,127.82,120.13,126.32,13607.10088,1718848.9831615998
1648008000000,2022-03-23 04:00:00,LTC/USD,120.05,123.22,119.65,120.62,5121.52664,617758.5433168
1647921600000,2022-03-22 04:00:00,LTC/USD,119.29,124.51,118.18,120.05,13812.254,1658161.0927000002
1647835200000,2022-03-21 04:00:00,LTC/USD,114.28,121.15,114.28,119.29,6618.2703,789493.464087
1647748800000,2022-03-20 04:00:00,LTC/USD,116.45,116.64,111.48,114.28,16515.41733,1887381.8924724
1647662400000,2022-03-19 04:00:00,LTC/USD,112.3,118.49,111.9,116.45,15124.04204,1761194.6955580001
1647576000000,2022-03-18 04:00:00,LTC/USD,108.57,113.02,108.57,112.3,8949.37596,1005014.920308
1647489600000,2022-03-17 04:00:00,LTC/USD,109.97,111.6,107.86,108.57,10674.74778,1158957.3664745998
1647403200000,2022-03-16 04:00:00,LTC/USD,106.78,111.63,106.14,109.97,10582.18545,1163722.9339365
1647316800000,2022-03-15 04:00:00,LTC/USD,105.01,111.92,102.55,106.78,14652.55318,1564599.6285604
1647230400000,2022-03-14 04:00:00,LTC/USD,101.99,106.47,101.68,105.01,13679.65573,1436500.6482073
1647144000000,2022-03-13 04:00:00,LTC/USD,106.8,106.99,100.85,101.99,13806.37029,1408111.7058771001
1647057600000,2022-03-12 04:00:00,LTC/USD,106.28,107.46,104.71,106.8,5033.90911,537621.492948
